row_names,sample,feature,state,bodipy,syto9,pi,hoechst,cells
bdp_D1,bdp_D1,control,dead,Y,N,N,N,Y
bdp_D2,bdp_D2,control,dead,Y,N,N,N,Y
bdp_dye1,bdp_dye1,control,nil,Y,N,N,N,N
bdp_dye2,bdp_dye2,control,nil,Y,N,N,N,N
bdp_L1,bdp_L1,control,live,Y,N,N,N,Y
bdp_L2,bdp_L2,control,live,Y,N,N,N,Y
bdp_pi_D1,bdp_pi_D1,experiment,dead,Y,N,N,N,Y
bdp_pi_D2,bdp_pi_D2,experiment,dead,Y,N,N,N,Y
bdp_pi_L1,bdp_pi_L1,experiment,live,Y,N,N,N,Y
bdp_pi_L2,bdp_pi_L2,experiment,live,Y,N,N,N,Y
hoechst_D1,hoechst_D1,control,dead,N,N,N,Y,Y
hoechst_D2,hoechst_D2,control,dead,N,N,N,Y,Y
hoechst_L1,hoechst_L1,control,live,N,N,N,Y,Y
hoechst_L2,hoechst_L2,control,live,N,N,N,Y,Y
pi_D1,pi_D1,control,dead,N,N,Y,N,Y
pi_D2,pi_D2,control,dead,N,N,Y,N,Y
pi_L1,pi_L1,control,live,N,N,Y,Y,Y
smpl8_D1,smpl8_D1,experiment,dead,Y,N,Y,Y,Y
smpl8_D2,smpl8_D2,experiment,dead,Y,N,Y,Y,Y
smpl8_L1,smpl8_L1,experiment,live,Y,N,Y,Y,Y
smpl8_L2,smpl8_L2,experiment,live,Y,N,Y,Y,Y
syto_D1,syto_D1,control,dead,N,Y,N,N,Y
syto_D2,syto_D2,control,dead,N,Y,N,N,Y
syto_L1,syto_L1,control,live,N,Y,N,N,Y
syto_L2,syto_L2,control,live,N,Y,N,N,Y
syto_pi_L1,syto_pi_L1,experiment,live,N,Y,N,N,Y
syto_pi_L2,syto_pi_L2,experiment,live,N,Y,N,N,Y
syto_pi_D1,syto_pi_D1,experiment,dead,N,Y,Y,N,Y
syto_pi_D2,syto_pi_D2,experiment,dead,N,Y,Y,N,Y
uns_D1,uns_D1,control,dead,N,N,N,N,Y
uns_D2,uns_D2,control,dead,N,N,N,N,Y
uns_L1,uns_L1,control,live,N,N,N,N,Y
uns_L2,uns_L2,control,live,N,N,N,N,Y
uns_L3,uns_L3,control,live,N,N,N,N,Y
water_1,water_1,control,nil,N,N,N,N,N
water_2,water_2,control,nil,N,N,N,N,N
Water_3,Water_3,control,nil,N,N,N,N,N
